Customer ID,Monetary,Frequency,Recency,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,KMeans_Cluster,Hierarchical_Cluster
1,53,1,61.58799066680104,1,1,3,113,Lost Customers,0,0
2,64,1,29.97516240911154,2,1,3,213,Lost Customers,2,0
3,73,1,73.59933436449278,1,1,4,114,Lost Customers,0,0
4,90,1,16.0904981473076,3,1,5,315,Potential Loyalists,2,2
5,49,1,44.022093869563754,2,1,2,212,Lost Customers,1,0
6,20,1,14.397905663157578,4,1,1,411,New Customers,1,1
7,85,1,17.78701668271517,3,1,5,315,Potential Loyalists,2,2
8,34,1,2.3725026496717536,5,1,1,511,New Customers,1,1
9,97,1,133.03870014450894,1,1,5,115,Lost Customers,0,0
10,31,1,23.396505541481496,3,1,1,311,Others,1,1
11,34,1,12.424821429660216,4,1,1,411,New Customers,1,1
12,68,1,6.247852946265731,5,1,3,513,New Customers,2,2
13,72,1,22.5996396006735,3,1,4,314,Potential Loyalists,2,2
14,51,1,24.402528630746676,3,1,2,312,Others,1,1
15,53,1,28.27577118093329,2,1,3,213,Lost Customers,1,1
16,81,1,35.115029648440185,2,1,4,214,Lost Customers,2,0
17,36,1,55.47060919245423,1,1,2,112,Lost Customers,0,0
18,38,1,5.737587896397378,5,1,2,512,New Customers,1,1
19,48,1,23.541574822316754,3,1,2,312,Others,1,1
20,90,1,12.293048211865635,4,1,5,415,New Customers,2,2
21,51,1,55.32769778379587,1,1,2,112,Lost Customers,0,0
22,62,1,36.689531590620106,2,1,3,213,Lost Customers,2,0
23,37,1,2.0001157207176763,5,1,2,512,New Customers,1,1
24,88,1,3.4781705214699454,5,1,5,515,New Customers,2,2
25,22,1,2.353062847524127,5,1,1,511,New Customers,1,1
26,25,1,3.1908912700403276,5,1,1,511,New Customers,1,1
27,20,1,19.38569425869528,3,1,1,311,Others,1,1
28,56,1,11.698648278930518,4,1,3,413,New Customers,1,1
29,94,1,37.44831151101374,2,1,5,215,Lost Customers,2,0
30,48,1,14.626450395160019,4,1,2,412,New Customers,1,1
31,31,1,30.79111082970438,2,1,1,211,Lost Customers,1,1
32,79,1,7.9810455906582725,4,1,4,414,New Customers,2,2
33,67,1,30.78382856916577,2,1,3,213,Lost Customers,2,0
34,38,1,37.93729389648895,2,1,2,212,Lost Customers,1,0
35,91,1,5.0335707918261985,5,1,5,515,New Customers,2,2
36,33,1,3.8436228375524193,5,1,1,511,New Customers,1,1
37,69,1,3.4393786864123452,5,1,4,514,New Customers,2,2
38,45,1,4.094437681421377,5,1,2,512,New Customers,1,1
39,37,1,17.833055883911843,3,1,2,312,Others,1,1
40,60,1,24.137379418616764,3,1,3,313,Potential Loyalists,2,1
41,76,1,17.654512713118955,3,1,4,314,Potential Loyalists,2,2
42,39,1,2.6038984539775214,5,1,2,512,New Customers,1,1
43,100,1,44.46751064868837,2,1,5,215,Lost Customers,2,0
